iter	Passed	Remaining
0	40	12240
1	86	12827
2	124	12327
3	164	12164
4	197	11670
5	232	11384
6	281	11780
7	319	11664
8	352	11403
9	388	11271
10	419	11017
11	468	11236
12	519	11465
13	560	11449
14	601	11423
15	642	11409
16	684	11400
17	720	11288
18	773	11440
19	811	11361
20	840	11164
21	890	11252
22	925	11150
23	958	11019
24	1047	11519
25	1106	11656
26	1156	11698
27	1184	11504
28	1216	11369
29	1276	11491
30	1318	11437
31	1357	11370
32	1443	11676
33	1518	11876
34	1590	12044
35	1629	11951
36	1686	11986
37	1734	11958
38	1779	11908
39	1818	11821
40	1859	11749
41	1920	11796
42	1986	11873
43	2039	11867
44	2110	11960
45	2170	11984
46	2236	12036
47	2291	12028
48	2336	11968
49	2407	12036
50	2458	12002
51	2511	11979
52	2569	11972
53	2608	11882
54	2655	11828
55	2681	11683
56	2717	11585
57	2757	11505
58	2805	11458
59	2866	11465
60	2919	11439
61	2972	11411
62	3021	11367
63	3078	11350
64	3133	11328
65	3213	11392
66	3294	11457
67	3368	11492
68	3439	11513
69	3528	11592
70	3581	11553
71	3636	11514
72	3683	11454
73	3730	11394
74	3771	11315
75	3810	11229
76	3852	11156
77	3897	11094
78	3943	11030
79	3989	10971
80	4038	10918
81	4105	10915
82	4171	10907
83	4236	10894
84	4276	10817
85	4340	10800
86	4391	10751
87	4441	10699
88	4484	10632
89	4539	10591
90	4598	10560
91	4642	10496
92	4686	10431
93	4723	10351
94	4769	10293
95	4819	10240
96	4881	10216
97	4929	10160
98	4989	10130
99	5039	10078
100	5100	10049
101	5147	9992
102	5178	9903
103	5200	9801
104	5220	9694
105	5285	9674
106	5336	9625
107	5391	9584
108	5457	9563
109	5523	9540
110	5597	9530
111	5644	9474
112	5713	9455
113	5821	9497
114	5930	9540
115	6025	9557
116	6062	9482
117	6121	9441
118	6146	9348
119	6173	9259
120	6207	9183
121	6268	9146
122	6303	9071
123	6323	8975
124	6342	8879
125	6365	8790
126	6399	8717
127	6485	8715
128	6579	8722
129	6709	8774
130	6771	8735
131	6847	8715
132	6900	8664
133	6965	8628
134	6991	8545
135	7015	8460
136	7040	8376
137	7062	8290
138	7112	8238
139	7149	8171
140	7204	8124
141	7224	8038
142	7256	7966
143	7280	7886
144	7305	7808
145	7332	7734
146	7380	7681
147	7438	7639
148	7491	7591
149	7533	7533
150	7560	7460
151	7591	7391
152	7650	7350
153	7698	7298
154	7738	7239
155	7768	7170
156	7803	7107
157	7827	7034
158	7853	6964
159	7888	6902
160	7947	6861
161	7974	6793
162	8028	6747
163	8055	6680
164	8096	6624
165	8161	6588
166	8252	6572
167	8290	6514
168	8380	6496
169	8498	6499
170	8582	6474
171	8668	6450
172	8727	6406
173	8770	6350
174	8826	6304
175	8865	6245
176	8925	6202
177	8978	6153
178	9038	6110
179	9089	6059
180	9133	6005
181	9173	5947
182	9203	5883
183	9254	5834
184	9304	5783
185	9375	5746
186	9405	5683
187	9423	5614
188	9462	5557
189	9513	5507
190	9546	5447
191	9595	5397
192	9624	5335
193	9670	5283
194	9703	5225
195	9759	5178
196	9798	5123
197	9824	5060
198	9850	4999
199	9885	4942
200	9936	4893
201	9987	4845
202	10038	4796
203	10073	4740
204	10103	4682
205	10145	4629
206	10174	4571
207	10194	4509
208	10230	4454
209	10261	4397
210	10305	4347
211	10350	4296
212	10393	4245
213	10434	4193
214	10467	4138
215	10502	4084
216	10525	4025
217	10543	3965
218	10579	3913
219	10605	3856
220	10659	3810
221	10699	3759
222	10763	3716
223	10806	3666
224	10849	3616
225	10901	3569
226	10932	3515
227	10963	3462
228	10986	3406
229	11020	3354
230	11061	3303
231	11099	3253
232	11148	3205
233	11174	3151
234	11217	3102
235	11248	3050
236	11298	3003
237	11358	2958
238	11403	2910
239	11457	2864
240	11503	2816
241	11551	2768
242	11584	2717
243	11612	2665
244	11644	2614
245	11675	2562
246	11704	2511
247	11738	2461
248	11780	2412
249	11824	2364
250	11861	2315
251	11891	2265
252	11921	2214
253	11949	2164
254	12002	2118
255	12073	2075
256	12114	2026
257	12154	1978
258	12183	1928
259	12227	1881
260	12259	1831
261	12294	1783
262	12313	1732
263	12345	1683
264	12391	1636
265	12411	1586
266	12446	1538
267	12470	1489
268	12532	1444
269	12566	1396
270	12590	1347
271	12631	1300
272	12669	1253
273	12705	1205
274	12749	1159
275	12788	1112
276	12836	1065
277	12859	1017
278	12895	970
279	12930	923
280	12959	876
281	12988	829
282	13019	782
283	13052	735
284	13083	688
285	13121	642
286	13155	595
287	13201	550
288	13236	503
289	13259	457
290	13303	411
291	13333	365
292	13364	319
293	13405	273
294	13454	228
295	13494	182
296	13524	136
297	13560	91
298	13604	45
299	13638	0
